date	Arthur County NE	Banner County NE	Box Butte County NE	Chase County NE	Cherry County NE	Cheyenne County NE	Dawes County NE	Deuel County NE	Dundy County NE	Frontier County NE	Garden County NE	Grant County NE	Hayes County NE	Hitchcock County NE	Hooker County NE	Keith County NE	Kimball County NE	Lincoln County NE	Logan County NE	McPherson County NE	Morrill County NE	Perkins County NE	Red Willow County NE	Scotts Bluff County NE	Sheridan County NE	Sioux County NE	Thomas County NE	Albany County WY	Big Horn County WY	Campbell County WY	Carbon County WY	Converse County WY	Crook County WY	Fremont County WY	Goshen County WY	Hot Springs County WY	Johnson County WY	Lincoln County WY	Niobrara County WY	Park County WY	Platte County WY	Sheridan County WY	Sublette County WY	Sweetwater County WY	Teton County WY	Uinta County WY	Washakie County WY	Weston County WY		Alamosa County CO		Archuleta County CO	Baca County CO	Bent County CO		Chaffee County CO	Cheyenne County CO	Clear Creek County CO	Conejos County CO	Costilla County CO	Crowley County CO	Custer County CO	Delta County CO		Dolores County CO		Eagle County CO	Elbert County CO		Fremont County CO	Garfield County CO	Gilpin County CO	Grand County CO	Gunnison County CO	Hinsdale County CO	Huerfano County CO	Jackson County CO		Kiowa County CO	Kit Carson County CO	Lake County CO	La Plata County CO		Las Animas County CO	Lincoln County CO	Logan County CO		Mineral County CO	Moffat County CO	Montezuma County CO	Montrose County CO	Morgan County CO	Otero County CO	Ouray County CO	Park County CO	Phillips County CO	Pitkin County CO	Prowers County CO		Rio Blanco County CO	Rio Grande County CO	Routt County CO	Saguache County CO	San Juan County CO	San Miguel County CO	Sedgwick County CO	Summit County CO	Teller County CO	Washington County CO		Yuma County CO
2010	460	690	11308	3966	5713	9998	9182	1941	2008	2756	2057	614	967	2908	736	8368	3821	36288	763	539	5042	2970	11055	36970	5469	1311	647	36299	11668	46133	15885	13833	7083	40123	13249	4812	8569	18106	2484	28205	8667	29116	10247	43806	21294	21118	8533	7208		15900		12065	3787	6507		17805	1835	9103	8278	3528	5846	4278	30868		2061		52092	23091		46874	56087	5468	14787	15374	846	6668	1383		1394	8242	7265	51473		15415	5469	22792		704	13802	25536	41187	28153	18904	4459	16267	4459	17151	12568		6641	12018	23423	6131	708	7353	2371	28053	23455	4803		10023
2000	444	819	12158	4068	6148	9830	9060	2098	2292	3099	2292	747	1068	3111	783	8875	4089	34632	774	533	5440	3200	11448	36951	6198	1475	729	32014	11461	33698	15639	12052	5887	35804	12538	4882	7075	14573	2407	25786	8807	26560	5920	37613	18251	19742	8289	6644		15445		12084	3788	6499		17809	1836	9088	8256	3524	5823	4255	30952		2064		52197	23086		46824	56389	5441	14843	15324	843	6711	1394		1398	8270	7310	51334		15507	5467	22709		712	13795	25535	41276	28159	18831	4436	16206	4442	17148	12551		6666	11982	23509	6108	699	7359	2379	27994	23350	4814		10043
1990	462	852	13130	4381	6307	9494	9021	2237	2582	3101	2460	769	1222	3750	793	8584	4108	32508	878	546	5423	3367	11705	36025	6750	1549	851	30797	10525	29370	16659	11128	5294	33662	12373	4809	6145	12625	2499	23178	8145	23562	4843	38823	11172	18705	8388	6518		13617		5345	4556	5048		12684	2397	7619	7453	3190	3946	1926	20980		1504		21928	9646		32273	29974	3070	7966	10273	467	6009	1605		1688	7140	6007	32284		13765	4529	17567		558	11357	18672	24423	21939	20185	2295	7174	4189	12661	13347		5972	10770	14088	4619	745	3653	2690	12881	12468	4812		8954
1980	513	918	13696	4758	6758	10057	9609	2462	2861	3647	2802	877	1356	4079	990	9364	4882	36455	983	593	6085	3637	12615	38344	7544	1845	973	29062	11896	24367	21896	14069	5308	38992	12040	5710	6700	12177	2924	21639	11975	25048	4548	41723	9355	13021	9496	7106		11799		3664	5419	5945		13227	2153	7308	7794	3071	2988	1528	21225		1658		13320	6850		28676	22514	2441	7475	10689	408	6440	1863		1936	7599	8830	27424		14897	4663	19800		804	13133	16510	24352	22513	22567	1925	5333	4542	10338	13070		6255	10511	13404	3935	833	3192	3266	8848	8034	5304		9682
1970	606	1034	10094	4129	6846	10778	9693	2717	2926	3982	2929	1019	1530	4051	939	8487	6009	29538	991	623	5813	3423	12191	36432	7285	2034	954	26431	10202	12957	13354	5938	4535	28352	10885	4952	5587	8640	2924	17752	6486	17852	3755	18391	4823	7100	7569	6307		11422		2733	5674	6493		10162	2396	4819	7846	3091	3086	1120	15286		1641		7498	3903		21942	14821	1272	4107	7578	202	6590	1811		2029	7530	8282	19199		15744	4836	18852		786	6525	12952	18366	20105	23523	1546	2185	4131	6185	13258		4842	10494	6592	3827	831	1949	3405	2665	3316	5550		8544
1960	680	1269	11688	4317	8218	14828	9536	3125	3570	4311	3472	1009	1919	4829	1130	7958	7975	28491	1108	735	7057	4189	12940	33809	9049	2575	1078	21290	11898	5861	14937	6366	4691	26168	11941	6365	5475	9018	3750	16874	7195	18989	3778	17920	3062	7484	8883	7929		10000		2629	6310	7419		8298	2789	2793	8428	4219	3978	1305	15602		2196		4677	3708		20196	12017	685	3557	5477	208	7867	1758		2425	6957	7101	19225		19983	5310	20302		424	7061	14024	18286	21192	24128	1601	1822	4440	2381	13296		5150	11160	5900	4473	849	2944	4242	2073	2495	6625		8912
1950	803	1325	12279	5176	8397	12081	9708	3330	4354	5282	4114	1057	2404	5867	1061	7449	4283	27380	1357	825	8263	4809	12977	33939	9539	3124	1206	19055	13176	4839	15742	5933	4738	19580	12634	5250	4707	9023	4701	15182	7925	20185	2481	22017	2593	7331	7252	6733		10531		3030	7964	8775		7168	3453	3289	10171	6067	5222	1573	17365		1966		4488	4477		18366	11625	850	3963	5716	263	10549	1976		3003	8600	6150	14880		25902	5909	17187		698	5946	9991	15220	18074	25275	2103	1870	4924	1646	14836		4719	12832	8940	5664	1471	2693	5095	1135	2754	7520		10827
1940	1045	1403	10736	5310	9637	9505	10128	3580	5122	6417	4680	1327	2958	6404	1253	8333	3913	25425	1742	1175	9436	5197	11951	33917	9869	4001	1553	13946	12911	6048	12644	6631	5463	16095	12207	4607	4980	10286	5988	10976	8013	19255	2778	19407	2543	7223	5858	4958		10484		3806	6207	9653		8109	2964	3784	11648	7533	5398	2270	16470		1958		5361	5460		19742	10560	1625	3587	6192	349	16088	1798		2793	7512	6883	15494		32369	5882	18370		975	5086	10463	15418	17214	23571	2089	3272	4948	1836	12304		2943	12404	10525	6173	1439	3664	5294	1754	6463	8336		12102
1930	1344	1676	11861	5484	10898	10187	11493	3992	5610	8114	5099	1427	3603	7269	1180	6721	4675	25627	2014	1358	9950	5834	13859	28644	10793	4667	1510	12041	11222	6720	11391	7145	5333	10490	11754	5476	4816	10894	4723	8207	9695	16875	1944	18165	2003	6572	4109	4673		8602		3204	10570	9134		8126	3723	2155	9803	5779	5934	2124	14204		1412		3924	6580		18896	9975	1212	2108	5527	449	17062	1386		3786	9725	4899	12975		36008	7850	19946		640	4861	7798	11742	18284	24390	1784	2052	5797	1770	14762		2980	9953	9352	6250	1935	2184	5580	987	4141	9591		13613
1920	1412	1435	8407	4939	11753	8405	10160	3282	4869	8540	4572	1486	3327	6045	1378	5294	4498	23420	1596	1692	9151	3967	11434	20710	9625	4528	1773	9283	12105	5233	9525	7871	5524	11820	8064	5164	4617	12487	6321	7298	7421	18182	0	13640		6611	3106	4631		5148		3590	8721	9705		7753	3746	2891	8416	5032	6383	2172	13668		1243		3385	6980		17883	9304	1364	2659	5590	538	16879	1340		3755	8915	6630	11218		38975	8273	18427		779	5129	6260	11852	16124	22623	2620	1977	5499	2707	13845		3135	7855	8948	4638	1700	5281	4207	1724	6696	11208		13897
