date	Arthur County NE	Banner County NE	Box Butte County NE	Chase County NE	Cherry County NE	Cheyenne County NE	Dawes County NE	Deuel County NE	Dundy County NE	Frontier County NE	Garden County NE	Grant County NE	Hayes County NE	Hitchcock County NE	Hooker County NE	Keith County NE	Kimball County NE	Lincoln County NE	Logan County NE	McPherson County NE	Morrill County NE	Perkins County NE	Red Willow County NE	Scotts Bluff County NE	Sheridan County NE	Sioux County NE	Thomas County NE	Albany County WY	Carbon County WY	Converse County WY	Fremont County WY	Goshen County WY	Hot Springs County WY	Niobrara County WY	Platte County WY	Sublette County WY	Sweetwater County WY	Washakie County WY	Cheyenne County CO	Elbert County CO	Grand County CO	Jackson County CO	Kit Carson County CO	Lincoln County CO	Logan County CO	Morgan County CO	Phillips County CO	Routt County CO	Sedgwick County CO	Washington County CO	Yuma County CO
2010	460	690	11308	3966	5713	9998	9182	1941	2008	2756	2057	614	967	2908	736	8368	3821	36288	763	539	5042	2970	11055	36970	5469	1311	647	36299	15885	13833	40123	13249	4812	2484	8667	10247	43806	8533	1835	23091	14787	1383	8242	5469	22792	28153	4459	23423	2371	4803	10023
2000	444	819	12158	4068	6148	9830	9060	2098	2292	3099	2292	747	1068	3111	783	8875	4089	34632	774	533	5440	3200	11448	36951	6198	1475	729	32014	15639	12052	35804	12538	4882	2407	8807	5920	37613	8289	1836	23086	14843	1394	8270	5467	22709	28159	4442	23509	2379	4814	10043
1990	462	852	13130	4381	6307	9494	9021	2237	2582	3101	2460	769	1222	3750	793	8584	4108	32508	878	546	5423	3367	11705	36025	6750	1549	851	30797	16659	11128	33662	12373	4809	2499	8145	4843	38823	8388	2397	9646	7966	1605	7140	4529	17567	21939	4189	14088	2690	4812	8954
1980	513	918	13696	4758	6758	10057	9609	2462	2861	3647	2802	877	1356	4079	990	9364	4882	36455	983	593	6085	3637	12615	38344	7544	1845	973	29062	21896	14069	38992	12040	5710	2924	11975	4548	41723	9496	2153	6850	7475	1863	7599	4663	19800	22513	4542	13404	3266	5304	9682
1970	606	1034	10094	4129	6846	10778	9693	2717	2926	3982	2929	1019	1530	4051	939	8487	6009	29538	991	623	5813	3423	12191	36432	7285	2034	954	26431	13354	5938	28352	10885	4952	2924	6486	3755	18391	7569	2396	3903	4107	1811	7530	4836	18852	20105	4131	6592	3405	5550	8544
1960	680	1269	11688	4317	8218	14828	9536	3125	3570	4311	3472	1009	1919	4829	1130	7958	7975	28491	1108	735	7057	4189	12940	33809	9049	2575	1078	21290	14937	6366	26168	11941	6365	3750	7195	3778	17920	8883	2789	3708	3557	1758	6957	5310	20302	21192	4440	5900	4242	6625	8912
1950	803	1325	12279	5176	8397	12081	9708	3330	4354	5282	4114	1057	2404	5867	1061	7449	4283	27380	1357	825	8263	4809	12977	33939	9539	3124	1206	19055	15742	5933	19580	12634	5250	4701	7925	2481	22017	7252	3453	4477	3963	1976	8600	5909	17187	18074	4924	8940	5095	7520	10827
1940	1045	1403	10736	5310	9637	9505	10128	3580	5122	6417	4680	1327	2958	6404	1253	8333	3913	25425	1742	1175	9436	5197	11951	33917	9869	4001	1553	13946	12644	6631	16095	12207	4607	5988	8013	2778	19407	5858	2964	5460	3587	1798	7512	5882	18370	17214	4948	10525	5294	8336	12102
1930	1344	1676	11861	5484	10898	10187	11493	3992	5610	8114	5099	1427	3603	7269	1180	6721	4675	25627	2014	1358	9950	5834	13859	28644	10793	4667	1510	12041	11391	7145	10490	11754	5476	4723	9695	1944	18165	4109	3723	6580	2108	1386	9725	7850	19946	18284	5797	9352	5580	9591	13613
1920	1412	1435	8407	4939	11753	8405	10160	3282	4869	8540	4572	1486	3327	6045	1378	5294	4498	23420	1596	1692	9151	3967	11434	20710	9625	4528	1773	9283	9525	7871	11820	8064	5164	6321	7421	0	13640	3106	3746	6980	2659	1340	8915	8273	18427	16124	5499	8948	4207	11208	13897
1910	0	1444	6131	3613	10414	4551	8254	1786	4098	8572	3538	1097	3011	5415	981	3692	1942	15684	1521	2470	4584	2570	11056	8355	7328	5599	1191	11574	11282	6294	11822	0	0	0	0	0	11575		3687	5331	1862	1013	7483	5917	9549	9577	3179	7561	3061	6002	8499
1900	0	1114	5572	2559	6541	5570	6215	2630	2434	8781	0	763	2708	4409	432	1951	758	11416	960	517	0	1702	9604	2552	6033	2055	628	13084	9589	3337	5357	0	0	0	0	0	8455		501	3101	741	0	1580	926	3292	3268	1583	3661	971	1241	1729
