date	actual	average
Jul-80	0	0
Aug-80	0	0
Sep-80	0	0
Oct-80	0	0.1
Nov-80	2.3	1.3
Dec-80	3.4	4.2
Jan-81	4.6	7.3
Feb-81	4.8	10.1
Mar-81	8.1	12.8
Apr-81	11.6	16.1
May-81	4.2	16.7
Jun-81	0	4.6
Jul-81	0	0
Aug-81	0	0
Sep-81	0	0
Oct-81	0	0.1
Nov-81	1.1	1.3
Dec-81	3	4.2
Jan-82	8.3	7.3
Feb-82	12.7	10.1
Mar-82	14.2	12.8
Apr-82	18.1	16.1
May-82	18.5	16.7
Jun-82	15.6	4.6
Jul-82	0	0
Aug-82	0	0
Sep-82	0	0
Oct-82	0	0.1
Nov-82	0.9	1.3
Dec-82	3.3	4.2
Jan-83	6.7	7.3
Feb-83	8.7	10.1
Mar-83	10.8	12.8
Apr-83	19.1	16.1
May-83	25.7	16.7
Jun-83	26.7	4.6
Jul-83	0	0
Aug-83	0	0
Sep-83	0	0
Oct-83	0	0.1
Nov-83	0	1.3
Dec-83	6.9	4.2
Jan-84	12.6	7.3
Feb-84	13.8	10.1
Mar-84	15.8	12.8
Apr-84	19.6	16.1
May-84	23.6	16.7
Jun-84	5	4.6
Jul-84	0	0
Aug-84	0	0
Sep-84	0	0
Oct-84	0	0.1
Nov-84	2.3	1.3
Dec-84	5.2	4.2
Jan-85	8.7	7.3
Feb-85	10.5	10.1
Mar-85	12.3	12.8
Apr-85	16.1	16.1
May-85	16.5	16.7
Jun-85	0	4.6
Jul-85	0	0
Aug-85	0	0
Sep-85	0	0
Oct-85	0.8	0.1
Nov-85	2	1.3
Dec-85	11.7	4.2
Jan-86	14.3	7.3
Feb-86	15.4	10.1
Mar-86	23.8	12.8
Apr-86	26.7	16.1
May-86	29	16.7
Jun-86	11.1	4.6
Jul-86	0	0
Aug-86	0	0
Sep-86	0	0
Oct-86	1.3	0.1
Nov-86	2.7	1.3
Dec-86	5.6	4.2
Jan-87	7	7.3
Feb-87	8.3	10.1
Mar-87	9.5	12.8
Apr-87	11.6	16.1
May-87	8.1	16.7
Jun-87	0	4.6
Jul-87	0	0
Aug-87	0	0
Sep-87	0	0
Oct-87	0	0.1
Nov-87	0	1.3
Dec-87	2.4	4.2
Jan-88	7.2	7.3
Feb-88	11.4	10.1
Mar-88	14	12.8
Apr-88	18.1	16.1
May-88	17.6	16.7
Jun-88	4.3	4.6
Jul-88	0	0
Aug-88	0	0
Sep-88	0	0
Oct-88	0	0.1
Nov-88	0	1.3
Dec-88	2.8	4.2
Jan-89	5.5	7.3
Feb-89	8	10.1
Mar-89	10.9	12.8
Apr-89	14	16.1
May-89	10	16.7
Jun-89	0	4.6
Jul-89	0	0
Aug-89	0	0
Sep-89	0	0
Oct-89	0	0.1
Nov-89	0.9	1.3
Dec-89	3.9	4.2
Jan-90	6.9	7.3
Feb-90	9.4	10.1
Mar-90	13	12.8
Apr-90	18.1	16.1
May-90	17.7	16.7
Jun-90	2.6	4.6
Jul-90	0	0
Aug-90	0	0
Sep-90	0	0
Oct-90	0	0.1
Nov-90	1.9	1.3
Dec-90	3.4	4.2
Jan-91	6.4	7.3
Feb-91	8.7	10.1
Mar-91	10.4	12.8
Apr-91	15	16.1
May-91	17.6	16.7
Jun-91	1.6	4.6
Jul-91	0	0
Aug-91	0	0
Sep-91	0	0
Oct-91	0	0.1
Nov-91	0.3	1.3
Dec-91	4.3	4.2
Jan-92	5.4	7.3
Feb-92	8.3	10.1
Mar-92	9.8	12.8
Apr-92	13.2	16.1
May-92	9.6	16.7
Jun-92	0.6	4.6
Jul-92	0	0
Aug-92	0	0
Sep-92	0	0
Oct-92	0	0.1
Nov-92	0.5	1.3
Dec-92	4.4	4.2
Jan-93	7.8	7.3
Feb-93	10.3	10.1
Mar-93	14.7	12.8
Apr-93	18.5	16.1
May-93	20.9	16.7
Jun-93	3	4.6
Jul-93	0	0
Aug-93	0	0
Sep-93	0	0
Oct-93	0	0.1
Nov-93	1.3	1.3
Dec-93	4.6	4.2
Jan-94	6.6	7.3
Feb-94	8.6	10.1
Mar-94	12.5	12.8
Apr-94	14.1	16.1
May-94	14.5	16.7
Jun-94	0	4.6
Jul-94	0	0
Aug-94	0	0
Sep-94	0	0
Oct-94	0	0.1
Nov-94	0.4	1.3
Dec-94	2.5	4.2
Jan-95	4.1	7.3
Feb-95	6.5	10.1
Mar-95	9.1	12.8
Apr-95	11.3	16.1
May-95	14.5	16.7
Jun-95	19.5	4.6
Jul-95	0	0
Aug-95	0	0
Sep-95	0	0
Oct-95	0	0.1
Nov-95	2	1.3
Dec-95	6.1	4.2
Jan-96	8.2	7.3
Feb-96	13.6	10.1
Mar-96	17.3	12.8
Apr-96	21.1	16.1
May-96	24	16.7
Jun-96	4.7	4.6
Jul-96	0	0
Aug-96	0	0
Sep-96	0	0
Oct-96	0	0.1
Nov-96	1.9	1.3
Dec-96	7	4.2
Jan-97	13.6	7.3
Feb-97	16.8	10.1
Mar-97	19.6	12.8
Apr-97	21.7	16.1
May-97	26.5	16.7
Jun-97	8.1	4.6
Jul-97	0	0
