date	Never Summer	Roach	Rawah	Columbine	Casper Mountain
Oct-02	0	0	0	0	0
Nov-02	3.2	1.8	0.9	0.8	0.7
Dec-02	6.6	4.1	3	4.8	2.4
Jan-03	9.2	5.5	4.5	9.1	4.2
Feb-03	11.8	7.2	5.5	12.1	4.6
Mar-03	16	10.1	8.4	18.8	7.9
Apr-03	21.4	17.9	12.5	22.5	14.7
May-03	25.4	18.3	12.3	18.3	11.4
Jun-03	18.8	2.1	0	0	0
Jul-03	0	0	0	0	0
Aug-03	0	0	0	0	0
Sep-03	0	0	0	0	0
Oct-03	0	0	0	0	0
Nov-03	0	0.4	0	0.2	1.6
Dec-03	4.5	5.5	2.4	7.3	2.5
Jan-04	7.4	8.2	3.7	11.3	5.6
Feb-04	9.9	10.2	4.8	13.8	5.8
Mar-04	13.1	12.7	8.2	18	10.8
Apr-04	15.6	12.8	4.2	15.6	10.1
May-04	18.5	13.9	0	6.7	6.7
Jun-04	7.6	0	0	0	0
Jul-04	0	0	0	0	0
Aug-04	0	0	0	0	0
Sep-04	0	0	0	0	0
Oct-04	1.4	0	0	0	0
Nov-04	3.6	1.2	0.5	0.6	1.6
Dec-04	6.3	3.3	2	4	3.8
Jan-05	9.3	5.8	3.5	9.5	5.5
Feb-05	13.9	9.6	5.2	12.8	6.7
Mar-05	16.2	12	6.6	15.6	8.1
Apr-05	19.4	14.2	8.1	19.1	11.3
May-05	22.5	14.9	4.3	11.7	9.7
Jun-05	15.3	0.6	0	0	0
Jul-05	0	0	0	0	0
Aug-05	0	0	0	0	0
Sep-05	0	0	0	0	0
Oct-05	0	0	0	0	0
Nov-05	1.8	1	0	0	0
Dec-05	6.8	4.2	2.8	6.2	3.4
Jan-06	10.9	8.4	6	16	6.2
Feb-06	13.9	10.6	7.4	22.5	10.8
Mar-06	16.3	12.4	8.5	27.3	13.7
Apr-06	19.6	16.7	10.5	30.7	16.3
May-06	20	13.6	1.7	20.7	12
Jun-06	7.7	0	0	0	0
Jul-06	0	0	0	0	0
Aug-06	0	0	0	0	0
Sep-06	0	0	0	0	0
Oct-06	0.4	0	0	0	0.8
Nov-06	2.7	3.7	2	1.9	1.1
Dec-06	5.5	5.4	3.2	4.4	2.8
Jan-07	8.2	9.3	6.2	7.9	4.7
Feb-07	10.9	11.5	8	10.2	7
Mar-07	15.4	14	10.4	16.9	9
Apr-07	18.5	16.9	10.7	16.6	12.9
May-07	21	18.2	5	3.6	7.3
Jun-07	16.2	2	0	0	0
Jul-07	0	0	0	0	0
Aug-07	0	0	0	0	0
Sep-07	0	0	0	0	0
Oct-07	0	0	0	0	0
Nov-07	2.3	1.9	0	0	1.2
Dec-07	3.8	3.1	0.7	1.5	1.1
Jan-08	8	8.7	3.6	8.2	4.9
Feb-08	13.4	12.8	6.5	15.9	6.7
Mar-08	17.8	16.4	9.2	22.3	9.5
Apr-08	21	19.4	12	26.9	13.2
May-08	24.6	19.7	10.3	24.9	14.9
Jun-08	20	10	0	3.3	5.3
Jul-08	0	0	0	0	0
Aug-08	0	0	0	0	0
Sep-08	0	0	0	0	0
Oct-08	0	0	0	0	0
Nov-08	1.2	1.1	0.1	0.1	0.5
Dec-08	4.3	2.5	2.7	3.5	1.4
Jan-09	9.4	6.9	5	8.5	3.4
Feb-09	13.8	11.2	7.9	18.3	5.8
Mar-09	16.4	13.2	9	23.8	8.3
Apr-09	20.1	14.7	9.4	27	12.2
May-09	21.9	18	6	19.1	14.2
Jun-09	13.9	0.1	0	0	0
Jul-09	0	0	0	0	0
Aug-09	0	0	0	0	0
Sep-09	0	0	0	0	0
Oct-09	0	0	0	0	0.2
Nov-09	3.1	3.6	1.1	1.2	3.3
Dec-09	4.2	4.9	2.1	2.5	3.2
Jan-10	8	8.6	4.1	7.3	5.3
Feb-10	9.8	10.5	5.6	12.1	5.9
Mar-10	12.3	12.9	7.3	16	7.7
Apr-10	13.9	16	9.4	17.9	14.6
May-10	20.4	20.2	9.9	17.6	15.7
Jun-10	17.7	9.6	0	0	3.9
Jul-10	0	0	0	0	0
Aug-10	0	0	0	0	0
Sep-10	0	0	0	0	0
Oct-10	0	0	0	0	0
Nov-10	5.6	2.1	2.1	2.5	0.2
Dec-10	12.1	6.1	5.1	8.5	3
Jan-11	18.2	11.2	7.5	15.2	5.9
Feb-11	21.7	13.6	10	21.8	7.6
Mar-11	26.6	17.4	13.9	27.7	9.3
Apr-11	34.5	21.2	16.7	35.6	10.9
May-11	45.5	28.2	21.3	41.9	13.6
Jun-11	46.2	21.7	15.1	25.8	3.7
Jul-11	12.5	0	0	0	0
Aug-11	0	0	0	0	0
Sep-11	0	0	0	0	0
Oct-11	0	0	0	0	0
Nov-11	2	1.4	0.6	0.5	1
Dec-11	5.9	5.1	2.9	4.5	4.7
Jan-12	6.3	6.7	4	6.2	9
Feb-12	9.1	9	5.2	11.2	12.9
Mar-12	12.1	12.2	7.4	17.9	17.6
Apr-12	12.5	11.5	3.1	12	15.8
May-12	11.4	5.8	0	0.2	9
Jun-12	0.3	0	0	0	0
Jul-12	0	0	0	0	0
Aug-12	0	0	0	0	0
Sep-12	0	0	0	0	0
Oct-12	0	0	0	0	0
Nov-12	3.1	1.2	0.8	0	0.1
Dec-12	3.8	2.3	1.5	1.4	0.6
Jan-13	6.3	5.5	3.9	8	1.5
Feb-13	8	7	5.3	11.4	2.2
Mar-13	10.8	9.3	8.2	15.5	7.1
Apr-13	13	11.9	9.7	19.7	9.4
May-13	19.6	16.1	11.2	17.1	12.2
Jun-13	14.3	0	0	0	0
Jul-13	0	0	0	0	0
Aug-13	0	0	0	0	0
Sep-13	0	0	0	0	0
Oct-13	0	0	0	0	0
Nov-13	3.7	2.3	1.9	2	6.6
Dec-13	6	4.4	3.6	4.9	6.8
Jan-14	9.2	7.3	5.5	9.7	8.7
Feb-14	13.3	10.9	8.8	19.2	11.9
Mar-14	19.9	16.6	11.2	29.9	13.5
Apr-14	24.6	21.2	14.4	36.5	19.1
May-14	28.9	20.9	10	31	18.1
Jun-14	25.1	7.7	0	2.7	0
Jul-14	0	0	0	0	0
Aug-14	0	0	0	0	0
Sep-14	0	0	0	0	0
